id,상품명,포화지방(g),당류(g),나트륨(mg),단백질(g),카페인(mg),칼로리(kcal)
MG001,청송애플파이프라페,14.3,60.8,278,7.6,0,565.7
MG002,(ICE)청송애플선셋티플레저,0,42.1,33.6,0.8,5.3,203.6
MG003,(HOT)청송애플선셋티플레저,0.1,44.4,35.3,0.7,9.4,206.6
mg004,할메가커피,7.7,30.3,22.5,1.9,99.6,281.9
mg005,왕할메가커피,12.3,48.5,36.8,3.1,196.4,468.7
mg006,고흥유자하이볼에이드,0.1,70.7,51.5,0.1,0,346
mg-007,코코넛커피스무디,29.3,61.4,347.1,9.4,173.8,746.5
mg-008,레드오렌지자몽주스,0,43.7,7.9,0.9,0,205.3
mg-009,샤인머스캣그린주스,0,46.7,10.1,0.8,0,218.1
mg-010,딸기주스,0,43.5,10.5,1.3,0,188.9
mg-011,딸기바나나주스,1.5,47.4,40.5,4,0,246.9
mg-012,디카페인에스프레소,0,1.3,0,0,4.9,6.2
mg-013,디카페인젤라또아포카토,0.1,33.7,10.8,20.9,0,162.2
mg-014,에스프레소피에노,0.17,10.35,0,5.13,9.706,99.48
mg-015,디카페인아메리카노,0.1,0,8.4,0.5,11.4,9.4
mg-016,디카페인꿀아메리카노,0.1,26.2,7.5,0.5,11.3,149.3
mg-017,디카페인헤이즐넛아메리카노,0,10.3,5.3,0.5,6.9,84.2
mg-018,디카페인바닐라아메리카노,0,15.6,12.2,0.5,12.2,83
mg-019,디카페인카페라떼,4.8,11.4,102.1,10,17,178.5
mg-020,디카페인카푸치노,4.5,10.4,80.6,8.1,11.3,152.9
mg-021,디카페인바닐라라떼,4.3,21.9,89.3,9,10.3,233.7
mg-022,디카페인헤이즐넛라떼,4.3,18.2,81.4,8.9,9.4,240
mg-023,디카페인카라멜마끼아또,4.2,21.3,91.3,8.9,7.8,238.5
mg-024,디카페인연유라떼,6.4,27.3,127.1,12.3,9.8,301.5
mg-025,디카페인카페모카,13.8,36.1,181.6,11,22.8,430.3
mg-026,디카페인티라미수라떼,14.2,37.2,194.9,10.2,12.1,436.7
mg-027,디카페인아메리카노,0.1,0,4.4,0.5,10.8,9.5
mg-028,디카페인메가리카노,0.1,0,7.9,0.9,10.9,17.1
mg-029,디카페인꿀아메리카노,0.1,21.5,5,0.6,8.7,137.4
mg-030,디카페인헤이즐넛아메리카노,0,15.8,5.2,0.6,11.2,108.7
mg-031,디카페인바닐라아메리카노,0,18,4.8,0.6,9.2,107.5
mg-032,디카페인카페라떼,4.5,9.3,78,8.2,14.4,147.7
mg-033,디카페인카푸치노,3.7,10.1,68.3,0.9,11.4,127
mg-034,디카페인바닐라라떼,4.3,30.4,70.9,7.4,8,239.3
mg-035,디카페인헤이즐넛라떼,4,23.4,70.7,7.4,4.8,237
mg-036,디카페인카라멜마끼아또,3.6,26.3,68.7,7,8.2,232.9
